APFP,COUNT
12780609,1
12780610,1
12780899,1
12782628,1
12782884,1
12846113,5
12846114,11
12846115,10
12846145,16
12846146,11
12846147,1
12846177,1
12846402,9
12846403,21
12846404,17
12846405,6
12846406,2
12846408,10
12846409,21
12846410,21
12846411,22
12846412,22
12846413,12
12846414,1
12846415,1
12846433,9
12846434,15
12846435,1
12846436,11
12846437,21
12846438,11
12846439,11
12846440,22
12846441,21
12846442,22
12846443,12
12846444,1
12846445,1
12847145,10
12847146,11
12847148,1
12847170,1
12847174,10
12847175,11
12847177,1
12847429,1
12848161,3
12848193,18
12848417,22
12848422,10
12848423,11
12848425,1
14746658,1
14746663,3
14746664,2
14746666,26
14746667,25
14746668,41
14746669,16
14746670,6
14746671,3
14746672,7
14746673,5
14746674,1
14746675,3
14746689,177
14746690,167
14746691,104
14746692,114
14746693,120
14746694,123
14746695,11
14746696,13
14746697,35
14746698,43
14746699,55
14746700,57
14746701,19
14746702,8
14746703,2
14746726,3
14746729,36
14746730,6
14746731,4
14746732,5
14746761,3
14746762,9
14746764,1
14746766,3
14746767,2
14746918,1
14746946,1
14746947,34
14746948,34
14746950,8
14746951,5
14746952,26
14746953,28
14746954,81
14746955,56
14746956,70
14746957,75
14746958,66
14746959,28
14746960,17
14746961,7
14746962,5
14746963,2
14746964,1
14746965,1
14746977,3
14746978,12
14746979,8
14746980,31
14746981,34
14746982,6
14746983,117
14746984,100
14746985,107
14746986,82
14746987,102
14746988,89
14746989,52
14746990,23
14746991,45
14746992,6
14746993,5
14746994,1
14747687,3
14747691,1
14747692,1
14747715,42
14747716,9
14747717,1
14747718,8
14747719,93
14747720,83
14747721,39
14747722,22
14747723,13
14747724,10
14747725,1
14747752,2
14747754,3
14747755,2
14747757,1
14747758,1
14747759,1
14747760,1
14747970,2
14747971,2
14747974,23
14747975,1
14747976,1
14747977,3
14747978,38
14747979,58
14747980,25
14747981,11
14747982,6
14747983,5
14748010,17
14748011,13
14748012,4
14748711,18
14748714,2
14748715,10
14748717,2
14748718,6
14748719,4
14748720,2
14748742,30
14748743,2
14748745,10
14748746,7
14748747,8
14748749,3
14748750,2
14748751,2
14748752,2
14748753,1
14748754,3
14748963,11
14748964,6
14748965,31
14748966,5
14748967,5
14748968,90
14748969,89
14748970,7
14748971,45
14748972,24
14748973,4
14748974,12
14748975,2
14748976,1
14748999,1
14749000,1
14749001,1
14749002,1
14749003,2
14749005,2
14749739,2
14749740,1
14749741,2
14749742,1
14749743,7
14749744,34
14749745,2
14749746,1
14752814,3
14812193,20
14812194,55
14812195,34
14812196,79
14812197,6
14812198,8
14812199,41
14812200,53
14812201,29
14812202,62
14812203,38
14812204,27
14812205,28
14812206,16
14812207,8
14812208,5
14812209,5
14812212,3
14812213,11
14812215,1
14812216,3
14812217,1
14812218,2
14812221,1
14812222,1
14812225,240
14812226,119
14812227,156
14812228,68
14812229,89
14812230,121
14812231,80
14812232,74
14812233,54
14812234,57
14812235,82
14812236,74
14812237,24
14812238,19
14812239,25
14812240,22
14812241,14
14812242,13
14812243,12
14812244,14
14812246,1
14812247,4
14812248,2
14812249,2
14812250,4
14812251,2
14812252,2
14812253,1
14812254,1
