APFP,COUNT
12846115,1
12846145,1
12846146,1
12846403,1
12846404,1
12846405,1
12846406,1
12846408,1
12846409,1
12846410,1
12846434,1
12846435,1
12846436,1
12846439,1
12846440,1
12846441,1
12847429,1
12848161,1
12848164,1
12848169,1
12848170,1
12848193,1
12848417,2
14746662,1
14746663,3
14746664,2
14746667,2
14746668,2
14746671,1
14746689,1
14746691,15
14746692,10
14746693,2
14746694,2
14746695,3
14746696,2
14746697,1
14746700,1
14746701,1
14746722,10
14746734,1
14746754,2
14746948,11
14746949,14
14746950,3
14746951,2
14746952,4
14746953,5
14746954,3
14746955,3
14746956,1
14746957,1
14746977,15
14746979,12
14746980,7
14746981,7
14746982,6
14746983,5
14746984,4
14746985,4
14746986,3
14746988,1
14747203,1
14747683,1
14747686,1
14747716,1
14747717,1
14747718,1
14747722,1
14747746,2
14747749,2
14747938,1
14747970,14
14747971,1
14747972,1
14747974,1
14747975,2
14747977,2
14748002,1
14748196,1
14748709,1
14748710,2
14748711,2
14748712,1
14748741,1
14748742,2
14748743,3
14748744,1
14748746,2
14748747,2
14748749,1
14748964,1
14748965,3
14748966,6
14748967,2
14748970,1
14748973,1
14748975,1
14812193,31
14812194,1
14812195,66
14812196,76
14812197,46
14812198,67
14812199,37
14812200,41
14812201,44
14812202,18
14812203,11
14812204,8
14812205,6
14812206,5
14812207,8
14812208,9
14812211,1
14812212,2
14812214,1
14812215,2
14812217,1
14812225,158
14812226,28
14812227,89
14812228,111
14812229,54
14812230,42
14812231,31
14812232,29
14812233,21
14812234,8
14812235,17
14812236,17
14812237,10
14812238,13
14812239,3
14812240,5
14812241,5
14812242,5
14812243,5
14812244,1
14812246,2
14812247,1
14812248,1
14812249,1
14812251,1
14812257,4
14812258,8
14812259,47
14812260,4
14812261,4
14812262,6
14812263,3
14812264,1
14812265,2
14812266,3
14812267,1
14812268,1
14812269,1
14812271,1
14812290,3
14812292,1
14812293,3
14812294,2
14812295,3
14812296,2
14812297,2
14812301,1
14812303,2
14812306,1
14812454,3
14812458,10
14812460,1
14812482,115
14812483,114
14812484,216
14812485,244
14812486,246
14812487,191
14812488,150
14812489,118
14812490,44
14812491,51
14812492,38
14812493,32
14812494,18
14812495,11
14812496,6
14812497,4
14812498,1
14812499,4
14812500,5
14812501,3
14812502,3
14812503,1
14812506,1
14812507,1
14812508,1
14812509,1
14812510,1
14812513,315
14812514,304
14812515,234
14812516,284
14812517,228
14812518,188
14812519,198
14812520,132
14812521,72
14812522,42
14812523,38
14812524,21
14812525,20
14812526,19
14812527,6
14812528,12
14812529,4
14812530,6
14812531,2
14812532,3
14812533,6
14812535,1
14812536,1
14812537,1
14812538,1
14812540,1
14812739,3
14812740,2
14812741,5
14812742,7
14812743,28
14812744,6
14812746,2
14812747,2
14812750,2
14813218,1
14813219,2
14813220,1
14813221,3
14813222,2
14813223,5
14813224,22
14813226,1
14813231,2
14813237,1
14813240,1
14813250,37
14813251,40
14813252,75
14813253,84
14813254,23
14813255,28
14813256,14
14813257,9
14813258,15
14813259,1
14813260,5
14813261,8
14813262,2
14813263,1
14813264,2
14813267,1
14813270,1
14813273,1
14813282,56
14813283,7
14813284,15
14813285,4
14813286,2
14813287,8
14813288,4
14813290,13
14813293,10
14813295,6
14813297,2
14813298,1
14813301,1
14813304,1
14813474,4
14813506,177
14813507,134
14813508,43
14813509,14
14813510,9
14813511,13
14813512,15
14813513,18
14813514,10
14813515,1
14813516,4
14813517,6
14813518,2
14813520,1
14813533,1
14813534,1
14813538,70
14813539,62
14813540,3
14813541,1
14813542,4
14813543,6
14813544,1
14813545,2
14813546,4
14813549,3
14813732,3
14813733,2
14813734,3
14813735,5
14813736,28
14813737,6
14813743,2
14814243,6
14814244,30
14814245,14
14814246,19
14814247,26
14814248,14
14814249,12
14814250,6
14814251,10
14814252,5
14814253,3
14814254,5
14814255,1
14814262,2
14814267,1
14814275,13
14814276,31
14814277,58
14814278,23
14814279,15
14814280,31
14814281,15
14814282,7
14814283,11
14814284,3
14814285,3
14814286,2
14814287,5
14814289,3
14814290,1
14814291,1
14814292,2
14814294,1
14814498,2
14814499,93
14814500,68
14814501,86
14814502,42
14814503,43
14814504,50
14814505,24
14814506,9
14814507,7
14814508,8
14814509,5
14814510,7
14814511,9
14814512,1
14814513,3
14814515,1
14814517,1
14814518,1
14814520,1
14814521,1
14814523,1
14814530,13
14814531,6
14814532,1
14814533,3
14814534,3
14815268,1
14815269,2
14815270,3
14815271,6
14815272,11
14815273,11
14815274,3
14815275,2
14815279,1
14815280,1
14815281,1
14815282,1
14815283,1
14815286,2
14818369,98
14818370,3
14818371,1
14818372,2
14818373,1
14818374,1
14877729,10
14877730,1
14877735,2
14877736,3
14877737,1
14877740,2
14877743,2
14877749,1
14877753,1
14877761,11
14877762,10
14877763,1
14877764,10
14877765,1
14877769,3
14877772,3
14877773,5
14877774,1
14877778,9
14877779,2
14877782,1
14877829,1
14877840,1
14877986,1
14878017,1
14878018,18
14878019,16
14878020,2
14878021,6
14878022,13
14878023,12
14878024,9
14878025,16
14878026,13
14878027,5
14878028,1
14878029,7
14878030,9
14878031,9
14878032,4
14878033,2
14878035,2
14878036,8
14878037,8
14878038,9
14878039,2
