APFP,COUNT
10749054,3
10749057,453
10749058,49
10749059,81
10749060,48
10749061,52
10749062,64
10749063,83
10749064,44
10749065,43
10749066,20
10749067,23
10749068,16
10749069,10
10749070,4
10749071,7
10749072,6
10749073,3
10749074,2
10749075,4
10749076,4
10749077,2
10749078,3
10749079,1
10749080,1
10749081,1
10749082,1
10749218,8
10749219,15
10749220,19
10749221,18
10749222,23
10749223,9
10749224,5
10749225,2
10749226,5
10749227,1
10749231,1
10749249,11
10749250,176
10749251,293
10749252,363
10749253,319
10749254,300
10749255,265
10749256,268
10749257,220
10749258,156
10749259,109
10749260,85
10749261,57
10749262,40
10749263,21
10749264,15
10749265,15
10749266,12
10749267,12
10749268,7
10749269,9
10749270,8
10749271,11
10749272,10
10749273,12
10749274,6
10749275,5
10749276,5
10749277,7
10749278,6
10749281,167
10749282,225
10749283,306
10749284,321
10749285,350
10749286,380
10749287,286
10749288,207
10749289,159
10749290,94
10749291,65
10749292,58
10749293,42
10749294,28
10749295,16
10749296,12
10749297,17
10749298,13
10749299,11
10749300,12
10749301,7
10749302,7
10749303,9
10749304,13
10749305,12
10749306,7
10749307,5
10749308,5
10749309,6
10749310,8
10749474,2
10749476,1
10749478,2
10749486,1
10749505,37
10749506,40
10749507,18
10749508,15
10749509,25
10749510,23
10749511,14
10749512,15
10749513,5
10749514,4
10749515,3
10749517,2
10749518,2
10749519,3
10749520,1
10749521,1
10749522,1
10749523,1
10749524,2
10749525,2
10749526,1
10749527,1
10749528,1
10749529,2
10749530,2
10749531,1
10749532,1
10749533,1
10749534,1
10749985,2
10749988,1
10749989,1
10749992,2
10749999,2
10750000,1
10750004,3
10750005,2
10750006,2
10750010,3
10750011,2
10750012,2
10750017,2
10750019,3
10750020,10
10750021,6
10750022,9
10750023,15
10750024,13
10750025,12
10750026,5
10750027,2
10750028,1
10750029,1
10750030,1
10750032,1
10750033,2
10750034,1
10750035,1
10750036,1
10750042,2
10750043,1
10750049,22
10750050,3
10750051,12
10750052,61
10750053,44
10750054,25
10750055,19
10750056,10
10750057,4
10750058,5
10750059,3
10750060,1
10750061,2
10750062,1
10750063,4
10750064,2
10750065,1
10750073,1
10750075,1
10750088,1
10750089,1
10750242,1
10750245,1
10750246,1
10750273,2
10750274,3
10750275,4
10750276,5
10750277,7
10750278,21
10750279,25
10750280,29
10750281,9
10750282,7
10750283,7
10750284,2
10750285,3
10750286,3
10750288,1
10750289,1
10750290,4
10750291,2
10750292,5
10750293,1
10750294,1
10750296,3
10750297,2
10750298,4
10750300,1
10750302,3
10750305,2
10750306,3
10750308,6
10750309,43
10750310,11
10750311,6
10750312,3
10750313,3
10750314,2
10750315,2
10750316,5
10750317,1
10750319,1
10750320,4
10750321,2
10750322,2
10750326,3
10750327,2
10750328,2
10750329,1
10750331,1
10750332,3
10750333,1
10750334,1
10750498,1
10750499,1
10750500,10
10750501,5
10750502,8
10750503,9
10750504,6
10750505,9
10750507,1
10750508,1
10750510,1
10750511,1
10750512,1
10750532,1
10750533,2
10750541,1
10751009,20
10751010,2
10751011,8
10751012,21
10751013,46
10751014,42
10751015,32
10751016,31
10751017,25
10751018,13
10751019,16
10751020,14
10751021,7
10751022,10
10751023,5
10751024,2
10751025,7
10751026,7
10751027,3
10751028,4
10751029,2
10751030,3
10751031,7
10751032,5
10751033,2
10751034,5
10751035,2
10751036,3
10751037,6
10751038,4
10751041,728
10751042,27
10751043,143
10751044,194
10751045,191
10751046,148
10751047,153
10751048,108
10751049,88
10751050,69
10751051,46
10751052,40
10751053,21
10751054,32
10751055,24
10751056,21
10751057,14
10751058,19
10751059,12
10751060,15
10751061,13
10751062,11
10751063,13
10751064,13
10751065,4
10751066,10
10751067,10
10751068,7
10751069,9
10751070,7
10751266,6
10751267,80
10751268,72
10751269,125
10751270,186
10751271,209
10751272,120
10751273,99
10751274,61
10751275,37
10751276,35
10751277,14
10751278,15
10751279,13
10751280,4
10751281,9
10751282,10
10751283,3
10751284,7
10751285,4
10751286,2
10751287,4
10751288,5
10751289,4
10751290,7
10751291,2
10751292,3
10751293,6
10751294,5
10751298,3
10751299,2
10751300,2
10751301,1
10751302,4
10751304,1
10751305,1
10752033,7
10752034,3
10752036,2
10752037,4
10752038,3
10752039,2
10752040,1
10752041,2
10752042,1
10752043,2
10752044,1
10752045,2
10752046,1
10752048,1
10752049,1
10752050,1
10752051,1
10752053,1
10753057,1
10753058,2
10753059,1
10753060,1
10753061,1
10753062,1
10753066,1
10753068,1
10753089,6
10753090,12
10753091,5
10753092,4
10753093,5
10753094,2
10753096,2
10753097,1
10753098,2
10753099,1
10753101,1
10753103,1
10753107,1
10753110,1
10753121,6
10753122,10
10753123,2
10753124,7
10753125,1
10753126,3
10753128,1
10753129,1
10753153,6
10753154,55
10753155,12
10753156,52
10753157,54
10753158,76
10753159,32
10753160,50
10753161,15
10753162,29
10753163,4
10753164,7
10753165,5
10753166,1
10753168,3
10753169,1
10753170,3
10753171,2
10753172,2
10753173,2
