APFP,COUNT
12846113,2
12846115,1
12846118,2
12846119,1
12846128,1
12846129,1
12846145,1
12846146,4
12846147,1
12846148,3
12846149,4
12846150,4
12846151,1
12846162,1
12846211,1
12846213,1
12846404,1
12846406,1
12846407,2
12846408,2
12846409,2
12846410,2
12846411,1
12846412,1
12846413,1
12846416,1
12846422,1
12846423,1
12846424,1
12846435,1
12846436,2
12846437,2
12846438,4
12846439,2
12846440,3
12846441,2
12846442,3
12846443,1
12846444,2
12846445,1
12846446,1
12846447,2
12846451,1
12846453,1
12846454,1
12846455,1
12847169,1
12847175,1
12847179,1
12847182,1
12847188,1
12847203,1
12847204,1
12847429,1
12847430,1
12847433,1
12847435,1
12847437,1
12847438,1
12847441,1
12847473,1
12848161,3
12848193,4
12848194,1
12848196,1
12848198,3
12848200,1
12848207,1
12848208,1
12848417,6
12848420,1
12848421,1
12848423,2
12848436,1
12849192,2
12849193,2
12849194,1
12849207,1
12849208,1
14746659,1
14746663,1
14746664,1
14746671,2
14746673,1
14746689,2
14746691,1
14746694,1
14746695,1
14746697,1
14746700,1
14746701,1
14746734,1
14746766,1
14746947,1
14746948,1
14746949,1
14746950,2
14746951,1
14746952,1
14746955,1
14746956,2
14746957,1
14746958,1
14746959,1
14746977,1
14746978,1
14746979,1
14746980,2
14746981,1
14746983,1
14746985,2
14746986,1
14746987,1
14746988,1
14746989,1
14746992,1
14747683,1
14747716,1
14747720,1
14747722,2
14747970,1
14747971,1
14747975,1
14747981,1
14748002,1
14748012,1
14748743,1
14748749,1
14748970,2
14748973,1
14748975,1
14748995,1
14812193,10
14812194,19
14812195,38
14812196,25
14812197,23
14812198,34
14812199,61
14812200,26
14812201,32
14812202,27
14812203,20
14812204,3
14812205,3
14812206,12
14812207,2
14812208,1
14812209,3
14812210,2
14812211,1
14812225,149
14812226,51
14812227,98
14812228,64
14812229,83
14812230,64
14812231,78
14812232,44
14812233,37
14812234,31
14812235,11
14812236,5
14812237,7
14812238,4
14812239,6
14812240,3
14812241,4
14812243,1
14812244,1
14812257,9
14812258,11
14812259,7
14812260,17
14812262,15
14812263,4
14812264,2
14812265,3
14812266,2
14812267,1
14812268,1
14812269,1
14812271,1
14812274,1
14812289,22
14812290,2
14812291,3
14812292,15
14812293,7
14812294,11
14812295,1
14812297,5
14812298,7
14812299,8
14812300,6
14812303,14
14812304,1
14812452,1
14812456,7
14812469,1
14812481,9
14812482,73
14812483,139
14812484,165
14812485,126
14812486,88
14812487,81
14812488,70
14812489,80
14812490,37
14812491,30
14812492,40
14812493,37
14812494,9
14812495,9
14812496,6
14812497,5
14812498,3
14812499,3
14812500,1
14812502,1
14812503,1
14812504,1
14812513,201
14812514,155
14812515,173
14812516,165
14812517,168
14812518,77
14812519,99
14812520,67
14812521,40
14812522,50
14812523,49
14812524,23
14812525,7
14812526,37
14812527,9
14812528,3
14812529,4
14812530,1
14812533,1
14812742,1
14812748,2
14813218,11
