APFP,COUNT
12846113,27
12846115,7
12846116,2
12846117,5
12846118,1
12846119,2
12846120,8
12846121,11
12846122,146
12846123,36
12846124,43
12846125,26
12846126,34
12846127,4
12846128,9
12846129,24
12846130,48
12846131,49
12846132,24
12846133,8
12846134,4
12846135,2
12846136,1
12846137,3
12846140,1
12846145,25
12846146,37
12846147,12
12846148,22
12846149,16
12846150,208
12846151,7
12846152,13
12846153,18
12846154,44
12846155,185
12846156,123
12846157,84
12846158,151
12846159,86
12846160,58
12846161,69
12846162,91
12846163,58
12846164,49
12846165,22
12846166,3
12846167,2
12846168,2
12846169,1
12846170,2
12846173,2
12846174,1
12846177,6
12846181,4
12846182,1
12846183,9
12846184,1
12846185,17
12846186,35
12846187,36
12846188,5
12846189,4
12846190,3
12846191,15
12846192,22
12846193,20
12846194,9
12846195,1
12846197,3
12846200,1
12846203,1
12846206,1
12846209,6
12846216,2
12846219,12
12846223,2
12846224,1
12846225,2
12846226,2
12846227,7
12846228,1
12846230,1
12846379,3
12846402,56
12846403,295
12846404,260
12846405,32
12846406,25
12846407,19
12846408,25
12846409,70
12846410,65
12846411,65
12846412,41
12846413,88
12846414,90
12846415,108
12846416,103
12846417,96
12846418,59
12846419,63
12846420,31
12846421,15
12846422,3
12846423,2
12846424,1
12846428,1
12846429,1
12846433,56
12846434,257
12846435,43
12846436,61
12846437,252
12846438,80
12846439,76
12846440,266
12846441,229
12846442,39
12846443,232
12846444,117
12846445,189
12846446,152
12846447,109
12846448,97
12846449,103
12846450,70
12846451,17
12846452,27
12846453,6
12846454,17
12846455,2
12846456,1
12846458,2
12846459,2
12846461,2
12846462,2
12846662,1
12846667,1
12846674,2
12846675,1
12846676,2
12847144,11
12847145,1
12847146,5
12847148,7
12847149,12
12847150,17
12847151,31
12847152,15
12847153,6
12847154,2
12847155,1
12847157,2
12847158,1
12847161,1
12847172,11
12847173,44
12847174,16
12847175,34
12847176,181
12847177,208
12847178,2
12847179,14
12847180,76
12847181,6
12847182,12
12847183,49
12847184,12
12847185,7
12847186,21
12847188,1
12847189,3
12847191,1
12847192,2
12847194,1
12847195,2
12847197,1
12847198,1
12847204,2
12847206,2
12847207,1
12847209,5
12847210,17
12847211,4
12847212,57
12847213,1
12847214,3
12847215,8
12847218,9
12847219,1
12847428,1
12847429,2
12847430,9
12847431,42
12847432,48
12847433,42
12847434,14
12847435,11
12847436,68
12847437,55
12847438,19
12847439,10
12847440,5
12847441,10
12847444,1
12847447,1
12847460,3
12847462,5
12847464,11
12847465,44
12847466,13
12847467,11
12847468,9
12847469,2
12847655,1
12847660,1
12847667,2
12847668,1
12847669,2
12848161,278
12848162,2
12848163,26
12848164,7
12848165,5
12848166,10
12848167,3
12848168,3
12848169,5
12848170,9
12848171,4
12848172,16
12848173,3
12848174,68
12848175,6
12848176,6
12848177,36
12848178,8
12848179,13
12848180,7
12848181,21
12848182,2
12848183,17
12848190,1
12848193,239
12848195,14
12848196,5
12848197,4
12848198,4
12848199,3
12848200,3
12848201,6
12848202,17
12848204,3
12848205,12
12848206,3
12848207,15
12848208,16
12848209,7
12848210,5
12848211,4
12848212,1
12848213,1
12848417,312
12848419,26
12848420,7
12848421,9
12848422,12
12848423,33
12848424,17
12848425,209
12848426,194
12848427,9
12848428,140
12848429,27
12848430,79
12848431,83
12848432,25
12848433,48
12848434,42
12848435,14
12848436,7
12848437,26
12848438,2
12848439,17
12848440,2
12848441,1
12848443,2
12848444,1
12848446,2
12848459,1
12848460,47
12848463,1
12849186,5
12849200,2
12849202,2
12849203,1
12849204,8
12849205,1
12849206,1
12851330,24
12851331,7
12851332,3
12851334,3
12851345,2
12851348,1
14746658,5
14746661,17
14746662,1
14746663,22
14746664,23
14746667,4
14746668,2
14746671,3
14746675,4
14746676,1
14746679,1
14746689,26
14746690,1
14746691,6
14746692,6
14746693,5
14746694,11
14746695,28
14746696,5
14746697,24
14746698,5
14746699,7
14746700,27
14746701,22
14746702,20
14746703,25
14746704,2
14746705,4
14746706,22
14746707,2
14746709,5
14746710,3
14746711,3
14746712,4
14746713,4
14746714,4
14746715,4
14746716,1
14746717,1
14746718,1
14746722,4
14746730,2
14746734,2
14746736,1
14746753,3
14746770,3
14746946,1
14746947,1
14746948,3
14746949,7
14746950,4
14746951,3
14746952,10
14746953,12
14746954,10
14746955,24
14746956,23
14746958,1
14746961,24
14746962,24
14746963,4
14746964,21
14746965,20
14746966,1
14746967,4
14746968,4
14746969,1
14746977,9
14746979,30
14746980,32
14746981,3
14746982,29
14746983,15
14746984,5
14746985,30
14746986,28
14746987,3
14746988,26
14746989,27
14746990,2
14746991,25
14746992,24
14746993,3
14746994,22
14746995,24
14746997,6
14746998,21
14747000,4
14747001,3
14747003,1
14747203,1
14747220,1
14747683,1
14747686,3
14747690,4
14747693,4
14747695,2
14747696,17
14747700,1
14747701,3
14747705,3
14747708,4
14747715,25
14747716,26
14747717,3
14747718,6
14747719,25
14747720,6
14747721,5
14747722,25
14747723,2
14747724,5
14747725,24
14747726,5
14747727,5
14747728,23
14747730,4
14747731,5
14747733,1
14747734,4
14747737,1
14747746,2
14747749,2
14747755,2
14747938,1
14747958,1
14747970,7
14747972,1
14747975,2
14747977,2
14747978,1
14747982,1
14747983,1
14747988,1
14748005,1
14748014,3
14748020,4
14748023,3
14748196,1
14748213,1
14748245,1
14748711,1
14748712,1
14748714,4
14748715,4
14748717,3
14748718,17
14748719,3
14748720,2
14748723,16
14748724,12
14748725,4
14748726,2
14748727,15
14748728,3
14748730,3
14748743,1
14748744,1
14748746,2
14748747,2
14748748,2
14748964,26
14748965,28
14748966,2
14748967,25
14748968,10
14748970,27
14748971,7
14748973,26
14748974,6
14748975,5
14748976,24
14748977,4
14748978,3
14748979,21
14748980,4
14748981,4
14748982,5
14748983,1
