APFP,COUNT
12780579,1
12780582,2
12780585,2
12780589,1
12780610,2
12780611,1
12780612,2
12780615,2
12780641,2
12780643,1
12780645,2
12780871,1
12780872,1
12780873,2
12780874,2
12780875,1
12780900,2
12780901,1
12780902,1
12780903,2
12780904,2
12780907,1
12781634,2
12781637,2
12781640,2
12781668,1
12782625,2
12782668,1
12782881,2
12782885,2
12782886,1
12782888,2
12846113,3
12846114,13
12846115,60
12846116,11
12846117,46
12846118,62
12846119,48
12846120,105
12846121,39
12846122,10
12846123,5
12846124,16
12846125,13
12846126,2
12846145,125
12846146,107
12846147,176
12846148,145
12846149,45
12846150,132
12846151,51
12846152,37
12846153,26
12846154,19
12846155,10
12846156,8
12846157,3
12846158,1
12846177,18
12846178,121
12846179,17
12846180,41
12846181,56
12846182,6
12846183,43
12846189,1
12846213,2
12846214,47
12846217,1
12846401,1
12846402,35
12846403,104
12846404,106
12846405,62
12846406,116
12846407,99
12846408,137
12846409,162
12846410,140
12846411,76
12846412,16
12846413,6
12846414,2
12846416,1
12846433,55
12846434,72
12846435,160
12846436,95
12846437,112
12846438,134
12846439,145
12846440,102
12846441,36
12846442,39
12846443,19
12846445,2
12846447,1
12847138,5
12847141,7
12847142,1
12847143,9
12847146,2
12847147,2
12847148,1
12847169,6
12847170,76
12847171,1
12847172,156
12847173,56
12847174,1
12847175,114
12847176,40
12847177,1
12847178,1
12847179,3
12847201,33
12847202,4
12847203,1
12847204,12
12847205,11
12847208,6
12847210,2
12847211,1
12847212,1
12847428,5
12847429,5
12847430,1
12847433,14
12847434,2
12847463,1
12847464,1
12847465,2
12848161,196
12848165,35
12848167,1
12848168,1
12848169,1
12848170,2
12848171,11
12848172,1
12848193,35
12848196,6
12848197,21
12848198,3
12848199,9
12848200,1
12848201,5
12848202,1
12848203,15
12848204,14
12848205,1
12848417,231
12848418,22
12848419,1
12848420,169
12848421,40
12848422,8
12848423,124
12848424,41
12848425,2
12848426,9
12848427,1
12848428,1
12848453,1
12849187,1
12849188,1
12849189,1
12849190,2
12849191,1
12849192,1
12849193,2
12849194,2
12849195,2
12849196,1
14746658,3
14746659,3
14746660,4
14746661,35
14746662,8
14746663,27
14746664,56
14746665,28
14746666,46
14746667,12
14746668,20
14746669,4
14746670,13
14746689,103
14746690,51
14746691,99
14746692,45
14746693,60
14746694,117
14746695,48
14746696,47
14746697,28
14746698,24
14746699,10
14746700,5
14746701,4
14746721,11
14746722,8
14746723,19
14746724,34
