APFP,COUNT
12846129,1
12846146,3
12846149,1
12846150,1
12846151,1
12846160,3
12846192,1
12846404,3
12846407,4
12846408,4
12846409,1
12846410,1
12846411,4
12846413,3
12846414,3
12846417,2
12846418,2
12846419,1
12846437,3
12846438,4
12846439,3
12846440,1
12846441,3
12846442,3
12846443,3
12846445,3
12846447,3
12846448,2
12846451,1
12847214,3
12847428,3
12847429,3
12847436,3
12847441,2
12847459,3
12847468,3
12848161,5
12848166,1
12848167,1
12848168,1
12848193,4
12848196,1
12848197,1
12848198,1
12848208,3
12848417,5
12848422,1
12848423,1
12848424,1
12848432,3
12849192,2
12849204,1
12851333,1
12851334,1
12851335,1
14812193,1
14812195,1
14812198,1
14812201,1
14812203,4
14812205,1
14812206,1
14812207,1
14812212,1
14812214,1
14812225,10
14812226,10
14812228,1
14812229,6
14812230,6
14812231,2
14812232,3
14812233,3
14812234,1
14812236,1
14812237,2
14812238,2
14812239,1
14812240,1
14812241,1
14812243,2
14812244,1
14812264,1
14812266,1
14812299,1
14812300,1
14812303,1
14812482,4
14812483,6
14812484,5
14812485,6
14812486,6
14812487,4
14812488,10
14812489,4
14812490,6
14812491,6
14812492,3
14812493,2
14812494,3
14812495,2
14812496,1
14812513,7
14812514,10
14812515,12
14812516,9
14812517,9
14812518,10
14812519,8
14812520,8
14812521,9
14812522,8
14812523,7
14812524,8
14812525,3
14812526,3
14812527,2
14812528,1
14812529,1
14812744,1
14813226,1
14813227,1
14813250,1
14813253,1
14813254,4
14813257,3
14813258,1
14813259,2
14813260,1
14813261,1
14813263,1
14813264,1
14813282,1
14813283,3
14813284,6
14813286,2
14813287,3
14813289,1
14813292,1
14813293,1
14813295,1
14813298,2
14813301,1
14813476,1
14813506,5
14813508,7
14813509,2
14813511,8
14813512,5
14813513,2
14813514,1
14813515,1
14813516,1
14813538,1
14813543,1
14813544,1
14813545,1
14813737,1
14814253,4
14814255,1
14814277,1
14814279,6
14814281,2
14814282,4
14814284,1
14814285,1
14814286,1
14814500,2
14814502,1
14814503,1
14814505,1
14814506,1
14814507,4
14814508,1
14814509,1
14814511,1
14814532,1
14814533,1
14814539,1
14815276,1
14815277,1
14815280,1
14815281,1
14818371,2
14877735,2
14877736,1
14877739,1
14877741,3
14877743,1
14877761,6
14877762,6
14877764,1
14877767,1
14877772,3
14878022,6
14878023,3
14878025,2
14878026,2
14878027,4
14878028,1
14878030,3
14878031,3
14878052,5
14878053,6
14878054,5
14878055,1
14878056,6
14878057,3
14878058,4
14878059,5
14878061,4
14878064,3
14878278,2
14878279,2
14878283,3
14878284,3
14878763,1
14878764,2
14878769,3
14878793,1
14878819,6
14879045,2
14879047,3
14879049,1
14879050,5
14879051,1
14879052,4
14879055,3
14879777,6
14879822,1
14880037,3
14880807,1
14943265,203
14943266,42
14943267,13
14943268,27
14943269,48
14943270,49
14943271,13
14943272,11
14943273,35
14943274,12
14943275,50
14943276,132
14943277,20
14943278,22
14943279,16
14943280,64
14943281,16
14943282,12
14943283,1
14943287,2
14943297,68
14943298,175
14943299,135
14943300,13
14943301,100
14943302,58
14943303,42
14943304,17
14943305,21
14943306,28
14943307,45
14943308,66
14943309,48
14943310,16
14943311,7
14943312,13
14943313,1
14943314,1
14943315,1
14943318,2
14943329,8
14943330,15
14943331,2
14943332,3
14943333,13
14943335,2
14943336,16
14943337,1
14943338,7
14943339,2
14943340,5
14943341,2
14943342,2
14943346,1
14943361,6
14943362,1
14943363,1
14943364,3
14943365,7
14943366,4
14943367,3
14943368,1
14943369,3
14943372,1
14943374,1
14943375,2
14943531,1
14943554,169
14943555,244
14943556,78
14943557,168
14943558,181
14943559,278
14943560,131
14943561,113
14943562,93
14943563,73
14943564,144
14943565,85
14943566,33
14943567,37
14943568,10
14943569,8
14943570,19
14943571,15
14943572,2
14943573,1
14943585,170
14943586,214
14943587,194
14943588,246
14943589,229
14943590,232
14943591,233
14943592,345
14943593,280
14943594,168
14943595,192
14943596,58
14943597,86
14943598,131
14943599,18
14943600,33
14943601,19
14943602,3
14943603,6
14943604,11
14943812,1
14943813,3
14943814,2
14943815,10
14943816,10
14943817,2
14943818,5
14943819,7
14943820,10
14943821,5
14943822,6
14943823,16
14943824,10
14944289,14
14944294,1
14944295,2
14944296,4
14944297,3
14944298,8
14944299,60
14944300,79
14944301,10
14944303,8
14944304,3
14944305,5
14944306,5
14944308,6
14944309,8
14944321,169
14944323,1
14944324,23
14944325,40
14944326,2
14944328,4
14944329,20
14944330,133
14944331,16
14944332,14
14944333,4
14944335,19
14944337,14
14944338,1
14944341,2
14944353,150
14944355,17
14944356,130
14944357,32
14944358,13
14944359,15
14944360,4
14944361,11
14944362,27
14944363,22
14944364,5
14944365,3
14944366,2
14944367,4
14944578,2
14944579,51
14944580,152
14944581,43
14944582,51
14944583,101
14944584,142
14944585,161
14944586,131
14944587,92
14944588,129
14944589,96
14944590,29
14944591,15
14944592,18
14944593,1
14944594,6
14944595,10
14944596,1
14944597,1
14944609,1
14944612,2
14944613,1
14944614,19
14944615,28
14944616,10
14944617,2
14944618,1
14944623,2
14944805,1
14944806,3
14944809,2
14944811,1
14945315,1
14945316,3
14945317,2
14945318,2
14945319,1
14945321,1
14945322,3
14945323,1
14945324,1
14945325,3
14945326,3
14945327,4
14945347,4
14945348,45
14945349,13
14945350,2
14945351,14
14945352,33
14945353,4
14945354,12
14945355,4
14945356,10
14945357,33
14945358,27
14945359,58
14945360,2
14945361,1
14945569,408
14945573,10
14945574,6
14945575,18
14945576,12
14945577,13
14945579,12
14945580,43
14945581,6
14945582,1
14945583,1
14945584,1
14945585,20
14945608,4
14945614,1
14945615,1
14946339,23
14946340,6
14946341,65
14946342,3
14946343,6
14946344,5
14946345,2
14946346,2
14946347,8
14946349,1
14946350,31
14946351,1
14946352,3
14946353,1
14946355,1
14946357,1
14949514,1
14949520,1
15270956,1
15270979,1
15270980,1
15270987,1
15270988,1
15270989,1
15271020,1
15271050,1
15271236,1
15271237,1
15271242,1
15271265,1
15271267,1
15271270,1
15271271,1
15271273,1
15272002,1
15272042,1
15272264,1
15272997,1
15273037,1
15273260,1
15277195,1
15336482,1
15336483,22
15336484,37
15336485,5
15336486,7
15336487,13
15336488,14
15336489,8
15336490,7
15336491,12
15336492,5
15336493,11
15336494,12
15336495,3
15336496,3
15336497,2
15336514,22
15336515,10
15336516,71
15336517,49
15336518,33
15336519,9
15336520,13
15336521,6
15336522,5
15336523,6
15336524,16
15336525,18
15336526,8
15336527,1
15336546,1
15336549,26
15336554,4
15336556,4
15336557,1
15336578,8
15336579,1
15336580,1
15336584,2
15336587,3
15336588,3
15336589,2
15336769,59
15336770,121
15336771,63
15336772,61
15336773,66
15336774,102
15336775,61
15336776,32
15336777,22
15336778,43
15336779,40
15336780,20
15336781,18
15336782,15
15336783,9
15336801,144
15336802,140
15336803,73
15336804,132
15336805,94
15336806,70
15336807,60
15336808,87
15336809,56
15336810,58
15336811,26
15336812,45
15336813,3
15336814,2
15336815,2
15336816,1
15336817,1
15337027,4
15337028,1
15337031,1
15337032,1
15337035,1
