APFP,COUNT
12846145,1
12846146,1
12846149,1
12846150,1
12846180,1
12846181,1
12846408,1
12846410,1
12846411,1
12846413,1
12846438,1
12846439,1
12846440,1
12846441,1
12846442,1
12846443,1
12846444,1
12847173,1
12847431,1
12847433,1
12847435,1
12847436,1
12848161,1
12848417,1
12849192,1
12849197,1
14746662,1
14746691,1
14746695,1
14746696,1
14746949,1
14746950,1
14746951,1
14746977,1
14746979,1
14746980,1
14746981,1
14746982,1
14747750,1
14747970,1
14747972,1
14748002,1
14748745,1
14748964,1
14812193,7
14812194,1
14812195,2
14812196,2
14812197,2
14812198,8
14812199,1
14812201,3
14812202,1
14812203,14
14812204,1
14812212,1
14812214,1
14812225,15
14812226,9
14812227,6
14812228,3
14812229,6
14812230,4
14812231,8
14812232,8
14812233,1
14812234,2
14812235,1
14812237,1
14812238,2
14812239,1
14812240,1
14812241,1
14812243,2
14812244,1
14812264,2
14812266,1
14812295,3
14812298,1
14812303,1
14812482,44
14812483,21
14812484,48
14812485,54
14812486,27
14812487,39
14812488,35
14812489,24
14812490,7
14812491,5
14812492,2
14812493,2
14812494,4
14812495,3
14812496,2
14812513,57
14812514,43
14812515,59
14812516,33
14812517,45
14812518,59
14812519,40
14812520,35
14812521,18
14812522,20
14812523,5
14812524,4
14812525,3
14812526,4
14812527,2
14812528,1
14812529,1
14812741,1
14812744,1
14812745,1
14813222,1
14813226,2
14813228,1
14813250,28
14813251,1
14813253,1
14813254,1
14813255,3
14813256,1
14813257,12
14813258,1
14813259,2
14813260,1
14813261,1
14813282,4
14813283,6
14813284,3
14813286,8
14813287,1
14813289,2
14813293,1
14813295,1
14813298,2
14813301,1
14813476,2
14813506,27
14813507,2
14813508,13
14813509,4
14813510,5
14813511,9
14813512,16
14813513,3
14813514,1
14813515,1
14813516,1
14813519,1
14813538,8
14813539,4
14813540,2
14813541,2
14813545,3
14813734,1
14813737,1
14813738,1
14814243,1
14814246,3
14814247,1
14814248,14
14814249,3
14814250,10
14814255,1
14814275,1
14814276,1
14814277,2
14814278,4
14814279,5
14814281,8
14814282,2
14814283,1
14814288,1
14814498,22
14814499,30
14814500,6
14814501,4
14814502,3
14814503,2
14814504,2
14814505,2
14814506,5
14814507,15
14814508,2
14814509,1
14814511,1
14814530,1
14814532,21
14814533,1
14814536,1
14814539,1
14814542,1
14815267,1
14815268,1
14815269,1
14815272,4
14815273,2
14815274,1
14815275,1
14815276,1
14815280,1
14815281,1
14877731,1
14877732,1
14877733,1
14877735,3
14877736,1
14877741,3
14877761,7
14877762,7
14877764,1
14877765,1
14877767,1
14877772,3
14878018,4
14878019,5
14878020,5
14878021,5
14878022,10
14878023,8
14878024,6
14878025,3
14878026,3
14878027,4
14878030,3
14878031,3
14878049,5
14878050,4
14878051,5
14878052,11
14878053,9
14878054,7
14878055,6
14878056,7
14878057,4
14878058,4
14878059,6
14878061,3
14878064,3
14878276,2
14878278,2
14878279,2
14878280,1
14878283,3
14878284,3
14878761,1
14878764,2
14878769,3
14878789,1
14878791,1
14878819,7
14878822,1
14879042,4
14879044,1
14879045,3
14879046,4
14879047,3
14879049,1
14879050,5
14879052,4
14879055,3
14879076,1
14879078,4
14879269,2
14879273,1
14879777,11
14879779,1
14879781,1
14879786,1
14880037,4
14880803,1
14880805,1
14880807,1
14943265,173
14943266,124
14943267,125
14943268,94
14943269,102
14943270,33
14943271,30
14943272,16
14943273,135
14943274,58
14943275,45
14943276,56
14943277,30
14943278,27
14943279,15
14943280,16
14943281,14
14943282,13
14943283,1
14943287,2
14943297,67
14943298,135
14943299,90
14943300,29
14943301,75
14943302,64
14943303,52
14943304,28
14943305,63
14943306,131
14943307,164
14943308,83
14943309,47
14943310,21
14943311,18
14943312,17
14943313,1
14943314,3
14943315,1
14943318,2
14943329,10
14943330,14
14943331,7
14943332,3
14943334,2
14943335,2
14943336,19
14943337,2
14943338,4
14943339,6
14943340,16
14943341,6
14943342,3
14943343,1
14943344,1
14943345,2
14943346,1
14943361,7
14943362,20
14943363,6
14943364,4
14943365,7
14943367,1
14943368,2
14943369,1
14943371,2
14943372,3
14943373,2
14943375,2
14943376,1
14943529,1
14943554,521
14943555,574
14943556,323
14943557,510
14943558,377
14943559,346
14943560,231
14943561,182
14943562,235
14943563,100
14943564,97
14943565,54
14943566,35
14943567,41
14943568,15
14943569,10
14943570,17
14943571,13
14943572,2
14943573,1
14943585,526
14943586,521
14943587,488
14943588,616
14943589,436
14943590,210
14943591,549
14943592,472
14943593,251
14943594,193
14943595,151
14943596,56
14943597,61
14943598,73
14943599,21
14943600,29
14943601,19
14943602,3
14943603,6
14943604,11
14943785,1
14943811,1
14943812,10
14943813,92
14943814,91
14943815,7
14943816,43
14943817,12
14943818,12
14943819,8
14943820,15
14943821,5
14943822,6
14943823,16
14943824,10
14944289,6
14944291,3
14944292,4
14944293,1
14944295,1
14944296,32
14944297,20
14944298,6
14944299,58
14944300,13
14944301,10
14944303,15
14944304,2
14944305,5
14944306,5
14944308,6
14944309,8
14944321,395
14944323,5
14944324,14
14944325,37
14944326,1
14944327,5
14944328,45
14944329,43
14944330,55
14944331,27
14944332,6
14944334,3
14944335,13
14944337,12
14944341,2
14944353,173
14944355,27
14944356,67
14944357,33
14944358,20
14944359,18
14944360,17
14944361,106
14944362,40
14944363,4
14944364,25
14944365,4
14944366,6
14944367,3
14944369,1
14944578,121
14944579,121
14944580,304
14944581,69
14944582,183
14944583,163
14944584,126
14944585,326
14944586,59
14944587,59
14944588,53
14944589,36
14944590,29
14944591,26
14944592,20
14944593,1
14944594,6
14944595,10
14944596,1
14944597,1
14944609,3
14944610,4
14944611,7
14944612,84
14944613,9
14944614,155
14944615,57
14944616,11
14944617,5
14944618,2
14944621,1
14944622,3
14944623,1
14944804,1
14944805,10
14944806,3
14944809,37
14944810,2
