APFP,COUNT
12848161,1
12848417,1
14746662,2
14746664,1
14746665,1
14746666,2
14746667,2
14746668,2
14746672,2
14746673,6
14746674,2
14746689,17
14746691,2
14746692,2
14746693,17
14746694,17
14746696,1
14746697,1
14746703,1
14746735,1
14746736,5
14746737,2
14746768,6
14746948,20
14746949,5
14746950,5
14746951,1
14746952,6
14746953,21
14746954,14
14746955,15
14746957,4
14746958,18
14746959,16
14746960,12
14746977,5
14746978,17
14746979,3
14746980,19
14746981,19
14746982,5
14746983,7
14746984,19
14746985,9
14746986,21
14746987,14
14746988,4
14746989,14
14746990,2
14746991,12
14746992,2
14747690,1
14747714,3
14747722,1
14747723,4
14747724,14
14747746,2
14747749,2
14747750,3
14747751,15
14747970,5
14747971,17
14747975,2
14747977,12
14747978,6
14747979,1
14748743,1
14748744,1
14748746,2
14748747,2
14748971,4
14748972,14
14748977,1
14749745,6
14812193,18
14812194,6
14812195,7
14812196,3
14812197,9
14812198,4
14812199,7
14812200,4
14812201,5
14812202,11
14812203,10
14812204,6
14812205,5
14812206,4
14812207,4
14812209,1
14812210,2
14812211,2
14812212,3
14812215,1
14812216,1
14812225,36
14812226,16
14812227,9
14812228,7
14812229,8
14812230,4
14812231,8
14812232,10
14812233,13
14812234,5
14812235,4
14812236,5
14812237,9
14812238,10
14812239,6
14812240,7
14812241,6
14812242,1
14812243,2
14812257,11
14812258,7
14812262,1
14812264,1
14812266,1
14812267,1
14812268,1
14812289,2
14812290,1
14812293,1
14812294,1
14812297,1
14812298,2
14812299,3
14812304,2
14812306,1
14812454,1
14812460,1
14812482,60
14812483,74
14812484,59
14812485,22
14812486,32
14812487,29
14812488,43
14812489,45
14812490,33
14812491,27
14812492,13
14812493,10
14812494,3
14812495,3
14812496,3
14812497,1
14812498,4
14812499,5
14812500,4
14812501,1
14812502,2
14812503,1
14812505,1
14812508,1
14812509,1
14812513,83
14812514,65
14812515,77
14812516,58
14812517,58
14812518,48
14812519,45
14812520,48
14812521,29
14812522,30
14812523,20
14812524,13
14812525,11
14812526,13
14812527,7
14812528,8
14812529,4
14812530,8
14812532,2
14812533,5
14812534,1
14812535,2
14812536,1
14812537,1
14812539,1
14812540,1
14812542,1
14812744,1
14812746,1
14812747,1
14812748,1
14812749,1
14812750,1
14813218,1
14813220,2
14813221,2
14813223,2
14813225,1
14813226,2
14813231,2
14813250,2
14813251,14
14813252,27
14813253,19
14813254,24
14813255,18
14813256,4
14813257,3
14813258,3
14813260,4
14813261,1
14813262,4
14813263,2
14813264,1
14813265,3
14813267,1
14813274,1
14813282,1
14813284,1
14813286,1
14813287,1
14813288,1
14813289,1
14813290,1
14813291,1
14813292,1
14813295,3
14813298,2
14813474,2
14813482,6
14813493,1
14813506,29
14813507,11
14813508,51
14813509,19
14813510,4
14813511,10
14813512,4
14813513,8
14813514,3
14813515,1
14813516,3
14813517,3
14813518,1
14813519,2
14813520,3
14813521,2
14813523,2
14813528,1
14813530,1
14813538,4
14813539,3
14813540,2
14813542,4
14813543,5
14813544,1
14813545,2
14813546,3
14813548,1
14813550,1
14813553,1
14813737,1
14813739,1
14813740,1
14813741,1
14813780,1
14814243,5
14814244,1
14814248,1
14814249,1
14814250,3
14814262,2
14814275,1
14814276,7
14814277,6
14814278,5
14814279,1
14814280,7
14814281,2
14814282,8
14814283,9
14814284,4
14814285,4
14814286,2
14814287,3
14814288,2
14814289,2
14814291,2
14814292,1
14814294,1
14814295,1
14814499,7
14814500,8
14814501,9
14814502,18
14814503,17
14814504,6
14814505,4
14814506,8
14814507,3
14814510,4
14814511,2
14814513,2
14814515,2
14814530,1
14814531,1
14814536,1
14815266,2
14815269,2
14815271,1
14815272,1
14815273,1
14815274,5
14815275,3
14815276,3
14815279,1
14815281,3
14815282,1
14815283,1
14815286,1
14815293,1
14818370,1
14818381,1
14877729,2
14877730,2
14877732,1
14877735,1
14877737,1
14877739,3
14877740,4
14877743,1
14877761,2
14877767,1
14877768,1
14877769,1
14877771,1
14877793,1
14877835,1
14878018,7
14878019,8
14878020,1
14878022,2
14878023,2
14878024,5
14878025,4
14878026,5
14878027,5
14878028,1
14878049,7
14878050,1
14878051,2
14878052,8
14878053,5
14878054,7
14878055,5
14878056,8
14878057,7
14878058,2
14878059,3
14878061,1
14878753,3
14878789,4
14878790,1
14878791,1
14878792,1
14878793,2
14879044,1
14879045,1
14879046,1
14879047,3
14879051,1
14879078,2
14879777,5
14879786,1
14879788,3
14879816,1
14879817,1
14879822,1
14880033,3
14880039,1
14880040,1
14880041,1
14880071,2
14880074,2
14880810,1
14880812,1
14943265,155
14943266,88
14943267,21
14943268,11
14943269,19
14943270,39
14943271,4
14943272,8
14943273,18
14943274,26
14943275,65
14943276,74
14943277,17
14943278,8
14943279,10
14943280,8
